State/UT,2019-20 - Primary level (I - V),2019-20 - Upper Primary (VI -VIII),2019-20 - Secondary (IX-X),2020-21 - Primary level (I - V),2020-21 - Upper Primary (VI -VIII),2020-21 - Secondary (IX-X),2021-22 - Primary level (I - V),2021-22 - Upper Primary (VI -VIII),2021-22 - Secondary (IX-X)
Andaman and Nicobar Islands,0.5,0,15.7,2.3,0.4,7,0.4,1,5
Andhra Pradesh,0,0.3,14.8,0,0.5,16.7,0,1.6,16.3
Arunachal Pradesh,6.2,7.5,34.3,8.1,7.1,10.1,9.3,6.7,11.7
Assam,4.3,3.4,32.2,3.3,4.9,30.3,6,8.8,20.3
Bihar,2.3,8.9,21.4,0,2.8,17.6,0,4.6,20.5
Chandigarh,0,0.3,4.7,0,0.4,0,0,0,0
Chhattisgarh,1,3.8,18.2,0.7,4.1,13.4,0.8,4.1,9.7
Dadra and Nagar Haveli,0,1.1,20.2,3.9,1.7,17.7,0,0,9.5
Daman and Diu,0,0,20,NA,NA,NA,NA,NA,NA
Delhi,0,0.2,13.9,0,1.1,6.1,0,0,4.8
Goa,0.3,0,10.2,1.5,0.7,5.7,0,0,9
Gujarat,1,5.2,23.7,1,4.5,23.3,0,4.9,17.9
Haryana,0,1.8,13.3,2.1,1.8,10.8,0,0.2,5.9
Himachal Pradesh,0.9,0.6,7.2,1.9,1.4,7.6,0,0.6,1.5
Jammu and Kashmir,3.9,3.2,16.7,4.4,3.4,3.7,4,3,6
Jharkhand,6.3,8.4,16.6,3.5,5.4,13,1.8,3.9,9.3
Karnataka,1.2,2.5,16.8,1.1,2,16.6,0,1.1,14.6
Kerala,0,0,7.9,0,0,7.1,0,0,5.5
Ladakh,3.5,1.5,11.4,4.1,2.1,3.4,6.5,1.1,4.9
Lakshadweep,0,0,6.7,0,0,0,0.5,2.6,0
Madhya Pradesh,0.8,4.1,23.2,1.3,6.4,23.8,3.1,8.8,10.1
Maharashtra,0,1.1,15.2,1,1.5,11.2,0,1.5,10.7
Manipur,8.8,4,9.2,8.5,4,9.4,13.3,5.6,1.3
Meghalaya,7,8,22.2,7.4,8.9,27.6,9.8,10.6,21.7
Mizoram,7.8,2.5,20.4,8.1,5.3,20,6.3,2.7,11.9
Nagaland,4.2,5.4,21.2,5.9,4.2,23.6,5,4,17.5
Odisha,0.8,4.5,23.6,0,0,16,0,7.3,27.3
Puducherry,0,0,7.9,0,0,6.9,3.7,2.4,6.3
Punjab,0,0,1.6,0,0,9,1.3,8,17.2
Rajasthan,2.8,1.5,12.3,1,2.7,8.9,3.6,4.3,7.6
Sikkim,0,0,23.2,1.2,0,21.6,1.8,0,11.9
Tamil Nadu,1.1,0.4,9.6,0.6,0.6,6.4,0,0,4.5
Telangana,0,0.1,12.3,0,0,13.9,0,3.1,13.7
Tripura,2,3.5,26.7,4.2,5.5,26.7,1.1,4.5,8.3
Uttar Pradesh,2.6,2.1,14.4,2.2,4.6,12.5,2.7,2.9,9.7
Uttarakhand,2.5,2.3,8.4,1.7,2.1,8.3,0.8,2.7,5
West Bengal,0.6,0,13.8,0,0,13.3,8.6,0,18
India,1.5,2.6,16.1,0.8,2.3,14,1.5,3,12.6
