State/UT,Dropout_Rate,Year,Level,High_Dropout,State_Encoded,Level_Encoded,Year_Encoded
Andaman and Nicobar Islands,0.5,2019-20,Primary level (I,0,0,0,0
Andhra Pradesh,0.0,2019-20,Primary level (I,0,1,0,0
Arunachal Pradesh,6.2,2019-20,Primary level (I,1,2,0,0
Assam,4.3,2019-20,Primary level (I,1,3,0,0
Bihar,2.3,2019-20,Primary level (I,0,4,0,0
Chandigarh,0.0,2019-20,Primary level (I,0,5,0,0
Chhattisgarh,1.0,2019-20,Primary level (I,0,6,0,0
Dadra and Nagar Haveli,0.0,2019-20,Primary level (I,0,7,0,0
Daman and Diu,0.0,2019-20,Primary level (I,0,8,0,0
Delhi,0.0,2019-20,Primary level (I,0,9,0,0
Goa,0.3,2019-20,Primary level (I,0,10,0,0
Gujarat,1.0,2019-20,Primary level (I,0,11,0,0
Haryana,0.0,2019-20,Primary level (I,0,12,0,0
Himachal Pradesh,0.9,2019-20,Primary level (I,0,13,0,0
Jammu and Kashmir,3.9,2019-20,Primary level (I,1,14,0,0
Jharkhand,6.3,2019-20,Primary level (I,1,15,0,0
Karnataka,1.2,2019-20,Primary level (I,0,16,0,0
Kerala,0.0,2019-20,Primary level (I,0,17,0,0
Ladakh,3.5,2019-20,Primary level (I,0,18,0,0
Lakshadweep,0.0,2019-20,Primary level (I,0,19,0,0
Madhya Pradesh,0.8,2019-20,Primary level (I,0,20,0,0
Maharashtra,0.0,2019-20,Primary level (I,0,21,0,0
Manipur,8.8,2019-20,Primary level (I,1,22,0,0
Meghalaya,7.0,2019-20,Primary level (I,1,23,0,0
Mizoram,7.8,2019-20,Primary level (I,1,24,0,0
Nagaland,4.2,2019-20,Primary level (I,1,25,0,0
Odisha,0.8,2019-20,Primary level (I,0,26,0,0
Puducherry,0.0,2019-20,Primary level (I,0,27,0,0
Punjab,0.0,2019-20,Primary level (I,0,28,0,0
Rajasthan,2.8,2019-20,Primary level (I,0,29,0,0
Sikkim,0.0,2019-20,Primary level (I,0,30,0,0
Tamil Nadu,1.1,2019-20,Primary level (I,0,31,0,0
Telangana,0.0,2019-20,Primary level (I,0,32,0,0
Tripura,2.0,2019-20,Primary level (I,0,33,0,0
Uttar Pradesh,2.6,2019-20,Primary level (I,0,34,0,0
Uttarakhand,2.5,2019-20,Primary level (I,0,35,0,0
West Bengal,0.6,2019-20,Primary level (I,0,36,0,0
Andaman and Nicobar Islands,0.0,2019-20,Upper Primary (VI -VIII),0,0,2,0
Andhra Pradesh,0.3,2019-20,Upper Primary (VI -VIII),0,1,2,0
Arunachal Pradesh,7.5,2019-20,Upper Primary (VI -VIII),1,2,2,0
Assam,3.4,2019-20,Upper Primary (VI -VIII),0,3,2,0
Bihar,8.9,2019-20,Upper Primary (VI -VIII),1,4,2,0
Chandigarh,0.3,2019-20,Upper Primary (VI -VIII),0,5,2,0
Chhattisgarh,3.8,2019-20,Upper Primary (VI -VIII),1,6,2,0
Dadra and Nagar Haveli,1.1,2019-20,Upper Primary (VI -VIII),0,7,2,0
Daman and Diu,0.0,2019-20,Upper Primary (VI -VIII),0,8,2,0
Delhi,0.2,2019-20,Upper Primary (VI -VIII),0,9,2,0
